Name,DOB,Place of Birth,Province-Diocese,Country of birth,Franciscan Province Membership,College,Arrival in America,Arrival in California,Place of arrival in CA,Years of Service in California,Date of departure,Date of death,Place of death,Missions Served in California
"Garcia Riobo, Juan Antonio",1740,Malpica,Galicia,Spain,Galicia,San Fernando,1770,6/2/1782,San Francisco,4.4,11/7/1786,,,"SC, SD, SG"
"Gil y Taboada, Luis",5/1/1773,Santa Fe,Guanajuato,Mexico,Michoacan,San Fernando,,8/9/1801,,32.2,,12/15/1833,Santa Margarita,"SFD, SJS, SI, SB, LPC, SRA, SCZ, SLO"
"Gill, Bartolome",2/16/1759,Arta,Majorca,Spain,Majorca,San Fernando,2/1/1788,1791,,3.5,8/11/1794,,,"SAP, SLD, SLO, SD"
"Giribet, Miguel",6/1/1756,Agramont,Catalonia,Spain,Catalonia,San Fernando,2/1/1785,8/1/1785,,14.4,1/16/1800,8/13/1804,Agramont,"SFD, SLO"
"Gomez, Francisco",1729,Castillo de Laya,Burgos,Spain,Concepción,San Fernando,11/1/1759,4/11/1769,,2.3,7/21/1771,,,SD
"Gonzalez, Francisco",1774,,,Spain,"Santa Elena, Cuba",San Fernando,,4/14/1797,San Francisco,8.6,11/6/1805,,,SCZ
"Gonzalez de Ibarra, Francisco",1782,Viana,Navarre,Spain,Burgos,San Fernando,1819,8/1/1820,Monterey,22.0,,1842,SLR,"SFR, SLR, SD"
"Gonzalez Rubio, José Maria de Jesus",6/6/1804,Guadalajara,Jalisco,Mexico,College of Zapopan,Zacatecas,,1/15/1833,Monterey,42.8,,11/2/1875,SB,"SJS, SB"
"Gutierrez, José Maria",1801,,,Mexico,,Zacatecas,,1/15/1833,Monterey,11.8,11/1/1844,6/29/1850,"La Quemada, Mexico","SFS, SFD, SAP"
"Gutierrez, Romualdo",1782,Tequisquiapan,,Mexico,,San Fernando,,8/15/1804,,2.3,11/1/1806,9/11/1845,,"SI, SBV"
"Horra, Antonio de la Concepción",1767,San Martin de Rubuales,Osma,Spain,Concepción,San Fernando,6/26/1795,4/17/1797,San Francisco,0.5,1797,,,SMA
"Ibanez, Florencio",10/26/1740,Tarazona,Aragón,Spain,Aragón,San Fernando,4/1/1770,8/9/1801,Monterey,17.3,,11/26/1818,SLD,"SAP, SLD"
"Iturrate, Domingo Santiago",1770,Lugiano,Calahorra,Spain,Cantabria,San Fernando,1795,8/22/1800,,9.2,10/1/1809,1815,,SJB
"Jayme, Antonio",1/1/1757,Palma,Majorca,Spain,Majorca,San Fernando,7/1/1794,8/24/1795,,31.2,,12/1/1829,SB,"SC, SLD, SB"
"Jayme, Luis",10/18/1740,San Juan,Mayorca,Spain,Mayorca,San Fernando,1770,3/12/1771,San Diego,4.6,,11/5/1775,SD,SD
"Jimeno, Antonio",,Mexico City,Mexico,Mexico,,San Fernando,,9/1/1827,,31.3,1/1/1859,12/25/1876,Mexico,"SCZ, SB"
"Jimeno, José Joaquin",11/30/1804,Mexico City,Mexico,Mexico,,San Fernando,,9/1/1827,San Diego,28.5,,3/14/1856,SB,"SLR, SLO, SCZ, SI, SG, SB"
"Juncosa, Domingo",1740,Cornudella,Catalonia,Spain,Catalonia,San Fernando,,3/12/1771,San Diego,3.3,6/8/1774,,,"SC, SLO, SAP"
"Landaeta, Martin de",1760,Cortezubi,Vezcaya,Spain,Cantabria,San Fernando,1786,1791,,7.0,1798,11/3/1809,SFR,"SFD, SFR"
"Lasuen, Fermin Francisco de",6/7/1736,Vitoria,Cantabria,Spain,Cantabria,San Fernando,1759,8/30/1773,San Diego,29.8,,6/26/1803,SC,"SG, Monterey, SJC, SD, SLO, SC"
"Lazaro, Nicolas",1782,Burgos,,Spain,Burgos,San Fernando,1804,8/31/1805,Monterey,2.0,,8/18/1807,SD,"SFR, SD"
"Lopez, Baldomero",1761,Puente,Valladolid,Spain,Concepcion,San Fernando,1786,1791,,5.0,7/1/1796,,,SCZ
"Lopez, Jacinto",1769,Toro,Zamora,Spain,Castile,San Fernando,1793,7/28/1799,Monterey,2.2,10/8/1801,,,"SAP, SJB"
"Lopez, Julian",1761,Carbonero,Segovia,Spain,Concepcion,San Fernando,6/26/1795,4/14/1797,San Francisco,0.3,,7/15/1797,SC,SC
"Mariner, Juan",9/24/1743,Vilaplana,Catalonia,Spain,Catalonia,San Fernando,2/1/1785,1785,Monterey,14.0,,1/29/1800,SD,SD
"Martinez, Marcelino",5/1/1779,Trevino,Vizcaya,Spain,Cantabria,San Fernando,1804,7/28/1810,San Francisco,7.6,3/12/1818,,,"SLO, SCZ"
"Martiarena, José Manuel",1754,Renteria,Guipuzcoa,Spain,Cantabria,San Fernando,1788,1794,,11.0,1805,,,"SAP, SLDO, SJB, SFD"
"Martin, Fernando",5/26/1770,Robledillo,Ciudad Rodrigo,Spain,Estremadura,San Fernando,6/1/1810,7/6/1811,San Diego,27.3,,10/19/1838,SD,SD
"Martin, Juan",1/12/1770,Villastor,Aragón,Spain,Aragón,San Fernando,9/1/1793,2/1/1794,,30.0,,8/29/1824,SMA,"SG, LPC, SMA"
"Martinez, Luis Antonio",1/17/1771,Briebes,Oviedo,Spain,Castile,San Fernando,1795,5/8/1798,Santa Barbara,31.9,3/30/1830,1832,Madrid,SLO
"Martinez, Pedro Adriano",1770,,Galicia,Spain,Galicia,San Fernando,1797,4/14/1797,,7.3,7/1/1804,,,"SLC, SJB, SMA"
"Martinez de Arenaza, Pascual",1762,,Alava,Spain,Cantabria,San Fernando,1785,1787,,10.0,10/1/1797,5/14/1799,Mexico City,SC
"Merelo, Lorenzo",1756,,,Haiti?,Santa Cruz,San Fernando,,7/28/1798,Monterey,3.2,10/8/1801,12/4/1801,At sea,"SFD, SAP"
"Merino, Agustin",1769,Briones,Calahorra,Spain,Cantabria,San Fernando,1795,4/14/1797,San Francisco,2.7,1/1/1800,,,SJS
"Miguel, José de",1761,Zarbitu,navarre,Spain,Cantabria,San Fernando,1786,8/2/1790,Monterey,20.0,11/1/1798,6/1/1813,SFR,"SB, SLO, SG"
"Moreno, Joseph Matías",1744,Almorza,Osma,Spain,Burgos,Querétaro,1770,1780,,1.0,,7/17/1781,Bicuner,San Pedro y San Pablo
"Moreno, Juan",1/27/1799,Montenegro,Old Castile,Spain,Santo Evangelio,San Fernando,,1827,,18.0,,12/27/1845,SI,"SB, SCZ, SJB, SMA, SI"
"Moreno, Rafael de Jesus",1795,,,Mexico,,Zacatecas,,1/15/1833,Monterey,6.4,,6/8/1839,SJS,"SCL, SRA, SJS"
"Mugartegui, Pablo Joseph",10/13/1736,Marquina,Calahorra,Spain,Cantabria,San Fernando,1770,3/13/1774,San Diego,15.0,1789,,,"SD, SAP, SLO, SJC"
"Muñoz, Pedro",6/19/1773,Puerto de Banos,Estremadura,Spain,Estremadura,San Fernando,8/1/1803,8/14/1804,San Francisco,13.0,3/12/1818,5/18/1818,Tepic,"SMA, SFR"
"Murguia, José",12/10/1715,Domayguia,Alava,Spain,Cantabria,San Fernando,,8/30/1773,San Diego,10.7,,5/11/1784,SCL,"SLO, SAP, SC, SCL"
"Muro, Miguel",1791,,,Mexico,,Zacatecas,,12/10/1841,San Diego,3.0,1845,6/20/1848,Zacatecas,"SJS, SFD"
"Noboa, Diego",1742,Compostela,Galicia,Spain,Galicia,San Fernando,1770,6/2/1783,San Francisco,11.2,8/11/1794,1798,,"SC, SLC"
"Noriega, Matias de Santa Catalina",1736,Andinas,Oviedo,Spain,,San Fernando,,9/15/1779,San Francisco,9.0,1789,1798,,"SFD, SC"
"Nuez, Joaquin Pascual",2/20/1785,Luco,Aragón,Spain,Aragón,San Fernando,6/1/1810,7/6/1812,San Diego,9.5,,12/30/1821,SG,"SFR, SG"
"Olbes, Ramón",2/8/1786,Ateca,Aragón,Spain,Aragón,San Fernando,6/1/1810,7/6/1812,San Diego,9.3,11/15/1821,,,"SI, SB, SLR, SCZ"
"Oliva, Vicente Pascual",7/3/1780,Martin del Rio,Aragón,Spain,Aragón,San Fernando,6/1/1810,8/4/1813,Monterey,35.4,,1/2/1848,SJC,"SFR, SFD, SMA, SD, SJC, SLR"
"Oramas, Cristobal",1759,Icod,Tenerife,Spain,,San Fernando,,1786,,8.0,10/1/1794,,,"SB, LPC, SG"
"Ordaz, Blas",1792,Corvero del Rio Alamo,Burgos,Spain,,San Fernando,1819,8/1/1820,Monterey,30.2,,11/11/1850,SG,"SC, SFD, SMA, LPC, SI, SBV, SFR, SG, SJC"
"Palou, Francisco",1/22/1723,Palma,Majorca,Spain,Majorca,San Fernando,10/1/1749,8/30/1773,San Diego,12.2,11/13/1785,4/6/1789,Querétaro,"SC, SFD"
"Panella, José",2/11/1761,Barcelona,Catalonia,Spain,Catalonia,San Fernando,,4/14/1797,San Francisco,6.4,10/4/1803,,,"SD, SLR"
"Panto, José Pedro",1778,Balberde del Fresno,Estremadura,Spain,Estremadura,San Fernando,8/1/1803,7/28/1810,San Francisco,1.9,,6/30/1812,SD,SD
"Parron, Fernando",1728,Arroyo del Puerco,Estremadura,Spain,Estremadura,San Fernando,1759,4/29/1769,San Diego,2.0,1771,,,SD
"Paterna, Antonio",1721,Seville,Andalusia,Spain,Andalusia,San Fernando,1750,3/12/1771,San Diego,21.9,,2/13/1793,SB,"SG, SLO, SB"
"Payeras, Mariano",10/10/1769,Inca,Majorca,Spain,Majorca,San Fernando,1793,6/18/1796,San Francisco,26.8,,4/28/1823,LPC,"SD, SC, SLD, LPC"
"Peña Saravia, Tomás de la",1743,Brizuela,Burgos,Spain,Cantabria,San Fernando,1770,5/1/1772,San Diego,22.3,8/12/1794,2/1/1806,Mexico City,"SD, SLO, SC, SCL"
"Perez, José Bernardino de Jesus",,,,Mexico,,Zacatecas,,1/15/1833,Monterey,2.8,11/17/1835,6/15/1873,Tepozotlan,SCL
"Peyri, Antonio",1/8/1769,Porrera,Catalonia,Spain,Catalonia,San Fernando,7/26/1795,6/18/1796,San Francisco,35.6,1/17/1832,,,"SLO, SLR"
"Pieras, Miguel",1741,Palma,Majorca,Spain,Majorca,San Fernando,1770,3/12/1771,San Diego,23.4,11/1/1794,4/14/1795,Mexico City,SAP
"Prestamero, Juan",1736,Labastida,Calahorra,Spain,Cantabria,San Fernando,1759,8/30/1773,San Diego,0.8,7/7/1774,,,SLO
"Pujol, Francisco",3/7/1762,Alos,Urgel,Spain,,San Fernando,1793,4/14/1797,San Francisco,3.9,,3/15/1801,San Antonio,"SC, SAP"
"Quijas, Lorenzo de la Concepción",,,,Ecuador?,,Zacatecas,,1/15/1833,Monterey,11.0,2/1/1844,,,"SFS, SRA, SJS"
"Quintana, Andres",11/27/1777,Antonorra,Calahorra,Spain,Cantabria,San Fernando,1804,8/31/1805,Monterey,7.2,,10/12/1812,SCZ,SCZ
"Ripoll, Antonio",3/27/1785,Palma,Majorca,Spain,Majorca,San Fernando,7/1/1810,7/7/1812,San Diego,15.6,1/23/1828,,,"LPC, SB"
"Rodriguez, Antonio Catarino",1777,San Luis Potosi,,Mexico,Zacatecas,San Fernando,,6/22/1809,Monterey,15.4,,11/25/1824,SLO,"SCZ, SLO, LPC"
"Rubi, Mariano",3/26/1756,Lluchmayor,Majorca,Spain,Majorca,San Fernando,1786,8/2/1790,Monterey,3.0,2/1/1793,,,"SAP, SLD"
"Saínz de Lucio, Juan",1771,Guadareya,Burgos,Spain,Cantabria,San Fernando,8/1/1803,6/6/1806,Monterey,10.4,11/1/1816,,,"SFD, SJB, SC"
"Salazar, Isidro Alonso",1758,,Cantabria,Spain,Cantabria,San Fernando,,1791,,4.0,9/14/1795,,,SCZ
"Sanchez, Francisco",8/1/1813,Leon,Guanajuato,Mexico,,Zacatecas,,12/11/1841,San Diego,42.3,,4/17/1884,SB,"SB, SI, SG, SBV"
"Sanchez, José Bernardo",7 Sept 1778,Robledillo,Ciudad Rodrigo,Spain,Estremadura,San Fernando,7/1/1803,8/14/1804,San Francisco,28.4,,1/15/1833,SG,"SG, SD, LPC"
"Sanchez, Miguel Francisco",1738,Baguera,Aragón,Spain,Aragón,San Fernando,1770,9/26/1774,San Diego,28.3,,1/27/1803,SG,"SG, SCL"
"Sancho, Juan Bautista",12/1/1772,Arta,Majorca,Spain,Majorca,San Fernando,8/1/1802,8/4/1804,Monterey,26.5,,2/8/1830,SAP,SAP
"Santa Maria, Vicente de",1742,Haras,Calahorra,Spain,Burgos,San Fernando,1769,6/27/1775,Monterey,30.1,,7/16/1806,SBV,"SD, SFD, SBV"
"Santiago, Norberto de",1760,Samiano,Leon,Spain,Cantabria,San Fernando,1785,11/1/1786,San Francisco,24.0,11/1/1810,1818,,"SFD, SJC"
"Sarria, Vicente Francisco de",11/1/1767,San Esteban de Echebarri,Vizcaya,Spain,Cantabria,San Fernando,1804,6/22/1809,Monterey,25.9,,5/24/1835,SLD,"SC, SLD"
"Senan, José Francisco de Paula",3/31/1760,Barcelona,Catalonia,Spain,Catalonia,San Fernando,9/1/1784,10/10/1787,Monterey,33.2,9/14/1795,8/24/1823,SBV,"SC, SBV"
"Serra, Junípero",11/24/1713,Petra,Majorca,Spain,Majorca,San Fernando,10/1/1749,7/1/1769,San Diego,15.2,,8/28/1784,SC,"SD, SC"
"Sitjar, Buenaventura",12/9/1739,Porreras,Majorca,Spain,Majorca,San Fernando,1770,4/14/1771,San Diego,37.3,,9/3/1808,SAP,"SAP, SMA"
"Sola, Faustino",1760,Mondragon,Vizcaya,Spain,Cantabria,San Fernando,,1786,,4.0,4/1/1790,1820,,"SLO, SFD"
"Somera, Angel",1743,Maravatio,Michoacan,Mexico,,San Fernando,,3/12/1771,San Diego,1.5,11/1/1772,,,SG
"Suarez del Real, Antonio de la Concepción",1804,,,Mexico,,Zacatecas,,1/15/1833,Monterey,12.2,11/1/1845,6/3/1850,Zacatecas,"SCZ, SFD, SC"
"Suarez del Real, José Maria del Refugio",1804,,,Mexico,,Zacatecas,,1/15/1833,Monterey,18.0,1851,,,"SC, SCL"
"Suner, Francisco",1764,Olat,Catalonia,Spain,Catalonia,San Fernando,7/1/1804,8/13/1808,Monterey,22.5,,1/17/1831,SV,"SC, SJC, SLR, SB, SBV"
"Tapis, Estevan",1756,Coloma de Farnes,Catalonia,Spain,Catalonia,San Fernando,1786,8/2/1790,Monterey,35.3,,11/3/1825,SJB,"SC, SLO, SB, SJB, SI, LPC"
"Torrent, Hilario",1740,San Hilario,Catalonia,Spain,Catalonia,San Fernando,1786,1786,,12.0,11/8/1798,5/14/1799,Mexico City,SD
"Uria, Francisco Xavier de la Concepción",1770,Ayzarna,Pamplona,Spain,Cantabria,San Fernando,6/26/1796,4/14/1797,San Francisco,35.0,,11/5/1834,SB,"SB, LPC, SFR, SCZ, SI, SLD, SBV"
"Uria, José Antonio",1769,Azcoitia,Pamplona,Spain,Cantabria,San Fernando,1796,7/28/1799,Monterey,13.3,11/1/1812,1815,Mexico City,"SJS, SFR, SJC"
"Urresti, José Antonio",1775,Manaria,Calahorra,Spain,Cantabria,San Fernando,8/1/1802,8/15/1804,Monterey,7.5,,1/4/1812,SFR,"SG, SFR"
"Uson, Ramon",1737,Caspe,Aragón,Spain,Aragón,San Fernando,1770,11/1/1772,San Diego,1.7,7/7/1774,,,"SG, SLO, SAP"
"Vasquez del Mercado, Jesus María",1808,,,Mexico,,Zacatecas,,1/15/1833,Monterey,11.0,1844,,,"SRA, SAP, SCL, SLD"
"Viader, José",8/27/1765,Gallines,Catalonia,Spain,Catalonia,San Fernando,6/26/1795,6/18/1796,San Francisco,37.0,11/1/1833,,,SCL
"Vinals, José",8/14/1759,Barcelona,Catalonia,Spain,Catalonia,San Fernando,,5/8/1798,Santa Barbara,6.0,1804,,,SCL
"Vitoria, Marcos Antonio",1760,Vitoria,Calahorra,Spain,Cantabria,San Fernando,8/1/1803,8/31/1805,San Francisco,30.9,,7/25/1836,SI,"SB, SBV, SFR, LPC, SI"
"Vizcaíno, Juan",1728,Fromista,Palencia,Spain,Concepcion,San Fernando,12/8/1749,4/11/1769,San Diego,0.8,2/11/1770,,,SD
"Zalvidea, José Maria",3/2/1780,Bilbao,Vizcaya,Spain,Cantabria,San Fernando,1804,8/31/1805,San Francisco,40.4,,2/1/1846,SLR,"SFR, SG, SJC, SLR"
142,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Unknown, but before this year",,,,,,,,,,,,,
,Circa,,, ,,,,,,,,,,
,COMMENTS,,,,,,,,,,,,,
